| No. | Problem                          |
| --: | -------------------------------- |
| 206 | Reverse Linked List              |
|  21 | Merge Two Sorted Lists           |
| 141 | Linked List Cycle                |
| 143 | Reorder List                     |
|  19 | Remove Nth Node From End of List |
| 138 | Copy List with Random Pointer    |
|   2 | Add Two Numbers                  |
| 287 | Find the Duplicate Number        |
| 146 | LRU Cache                        |
|  23 | Merge k Sorted Lists             |
|  25 | Reverse Nodes in k-Group         |
