|  No. | Problem                                                   |
| ---: | --------------------------------------------------------- |
|  226 | Invert Binary Tree                                        |
|  104 | Maximum Depth of Binary Tree                              |
|  543 | Diameter of Binary Tree                                   |
|  110 | Balanced Binary Tree                                      |
|  100 | Same Tree                                                 |
|  572 | Subtree of Another Tree                                   |
|  235 | Lowest Common Ancestor of a Binary Search Tree            |
|  102 | Binary Tree Level Order Traversal                         |
|  199 | Binary Tree Right Side View                               |
| 1448 | Count Good Nodes in Binary Tree                           |
|   98 | Validate Binary Search Tree                               |
|  230 | Kth Smallest Element in a BST                             |
|  105 | Construct Binary Tree from Preorder and Inorder Traversal |
|  124 | Binary Tree Maximum Path Sum                              |
|  297 | Serialize and Deserialize Binary Tree                     |
